NAME,PARTY,STATE_NAME,LonX,LatY,icpsr
Steny H. Hoyer,Democrat,Maryland,-76.768,38.559,14873
David Trone,Democrat,Maryland,-78.387,39.499,21978
Kweisi Mfume,Democrat,Maryland,-76.796,39.402,15433
Jamie Raskin,Democrat,Maryland,-77.251,39.433,21741
Chellie Pingree,Democrat,Maine,-70.119,43.877,20920
Jared F. Golden,Democrat,Maine,-69.128,45.556,21923
Jack Bergman,Republican,Michigan,-86.443,45.865,21704
Bill Huizenga,Republican,Michigan,-85.991,43.513,21142
Peter Meijer,Republican,Michigan,-85.244,42.717,22137
John R. Moolenaar,Republican,Michigan,-84.751,43.735,21526
Daniel T. Kildee,Democrat,Michigan,-83.778,43.686,21372
Fred Upton,Republican,Michigan,-85.9,42.187,15446
Tim Walberg,Republican,Michigan,-84.333,42.102,20725
Elissa Slotkin,Democrat,Michigan,-83.941,42.647,21965
Andy Levin,Democrat,Michigan,-83.053,42.532,21940
Lisa McClain,Republican,Michigan,-82.99,43.323,22136
Haley Stevens,Democrat,Michigan,-83.457,42.532,21972
Debbie Dingell,Democrat,Michigan,-83.463,42.215,21529
Rashida Tlaib,Democrat,Michigan,-83.252,42.325,21975
Brenda L. Lawrence,Democrat,Michigan,-83.203,42.48,21530
Brad Finstad,Democrat,Minnesota,-93.705,43.887,22167
Angie Craig,Democrat,Minnesota,-92.849,44.488,21910
Dean Phillips,Democrat,Minnesota,-93.53,44.996,21953
Betty McCollum,Democrat,Minnesota,-92.981,45.002,20122
Ilhan Omar,Democrat,Minnesota,-93.295,44.981,21950
Tom Emmer,Republican,Minnesota,-93.854,45.335,21531
Michelle Fischbach,Republican,Minnesota,-95.687,46.595,22114
Pete Stauber,Republican,Minnesota,-93.136,47.207,21969
Cori Bush,Democrat,Missouri,-90.295,38.728,22106
Ann Wagner,Republican,Missouri,-90.534,38.604,21337
Blaine Luetkemeyer,Republican,Missouri,-91.555,38.578,20926
Vicky Hartzler,Republican,Missouri,-93.31,38.284,21149
Emanuel Cleaver,Democrat,Missouri,-93.772,39.142,20517
Sam Graves,Republican,Missouri,-93.298,39.937,20124
Billy Long,Republican,Missouri,-93.698,36.989,21150
Jason Smith,Republican,Missouri,-90.93,37.19,21373
Trent Kelly,Republican,Mississippi,-89.006,34.196,21561
Bennie G. Thompson,Democrat,Mississippi,-90.346,33.2,29368
Michael Guest,Republican,Mississippi,-89.733,32.015,21927
Steven M. Palazzo,Republican,Mississippi,-89.094,31.057,21148
Matt Rosendale,Republican,Montana,-109.645,47.033,22148
G. K. Butterfield,Democrat,North Carolina,-77.491,36.009,20340
Deborah K. Ross,Democrat,North Carolina,-78.719,35.729,22149
Gregory F. Murphy,Republican,North Carolina,-76.891,35.378,21987
David E. Price,Democrat,North Carolina,-78.755,36.04,15438
Virginia Foxx,Republican,North Carolina,-81.441,35.906,20521
Kathy Manning,Democrat,North Carolina,-79.88,36.081,22135
David Rouzer,Republican,North Carolina,-78.349,34.661,21544
Richard Hudson,Republican,North Carolina,-79.54,35.293,21346
Dan Bishop,Republican,North Carolina,-79.698,34.902,21986
Patrick T. McHenry,Republican,North Carolina,-80.586,36.095,20522
Madison Cawthorn,Republican,North Carolina,-82.878,35.482,22109
Alma S. Adams,Democrat,North Carolina,-80.838,35.272,21545
Ted Budd,Republican,North Carolina,-79.794,35.911,21708
Kelly Armstrong,Republican,North Dakota,-100.469,47.446,21901
Mike Flood,Republican,Nebraska,-96.831,41.378,22166
Don Bacon,Republican,Nebraska,-96.16,41.229,21701
Adrian Smith,Republican,Nebraska,-100.232,41.549,20729
Chris Pappas,Democrat,New Hampshire,-71.223,43.476,21951
Ann M. Kuster,Democrat,New Hampshire,-71.719,43.769,21340
Donald Norcross,Democrat,New Jersey,-75.051,39.789,21536
Jeff Van Drew,Democrat,New Jersey,-74.908,39.477,91980
Andy Kim,Democrat,New Jersey,-74.563,39.919,21937
Christopher H. Smith,Republican,New Jersey,-74.322,40.163,14863
Josh S. Gottheimer,Democrat,New Jersey,-74.628,41.058,21723
Frank Pallone Jr.,Democrat,New Jersey,-74.267,40.461,15454
Tom Malinowski,Democrat,New Jersey,-74.789,40.628,21942
Albio Sires,Democrat,New Jersey,-74.116,40.729,20542
Bill Pascrell Jr.,Democrat,New Jersey,-74.078,40.862,29741
Donald M. Payne Jr.,Democrat,New Jersey,-74.212,40.71,31103
Mikie Sherrill,Democrat,New Jersey,-74.451,40.904,21964
Bonnie Watson Coleman,Democrat,New Jersey,-74.571,40.373,21538
Melanie A. Stansbury,Democrat,New Mexico,-106.055,34.769,22159
Yvette Herrell,Republican,New Mexico,-106.297,33.381,22123
Teresa Leger Fernandez,Democrat,New Mexico,-105.822,35.995,22131
Dina Titus,Democrat,Nevada,-115.152,36.138,20927
Mark E. Amodei,Republican,Nevada,-117.306,40.646,21196
Susie Lee,Democrat,Nevada,-115.114,35.731,21938
Steven Horsford,Democrat,Nevada,-116.001,38.091,21339
Lee M. Zeldin,Republican,New York,-72.688,40.913,21539
Andrew Garbarino,Republican,New York,-73.285,40.729,22117
Thomas R. Suozzi,Democrat,New York,-73.495,40.831,21747
Kathleen M. Rice,Democrat,New York,-73.616,40.672,21540
Gregory W. Meeks,Democrat,New York,-73.776,40.66,29776
Grace Meng,Democrat,New York,-73.824,40.735,21342
Nydia M. Velázquez,Democrat,New York,-73.947,40.687,29378
Hakeem S. Jeffries,Democrat,New York,-73.907,40.64,21343
Yvette D. Clarke,Democrat,New York,-73.948,40.642,20733
Jerrold Nadler,Democrat,New York,-73.992,40.694,29377
Nicole Malliotakis,Republican,New York,-74.136,40.584,22133
