id,NAME,PARTY,STATE_NAME,LonX,LatY,pagerank,degree,distance to center,betweenness,closeness
20712,Henry C. â€œHankâ€ Johnson Jr.,Democrat,Georgia,-84.05,33.697,0.001046375,10,608.8573207,0,0.481203008
20723,John A. Yarmuth,Democrat,Kentucky,-85.694,38.188,0.001034213,0,137.1448867,0,0
20724,John P. Sarbanes,Democrat,Maryland,-76.751,39.191,0.001289572,158,906.8531629,48.20650745,0.820512821
20725,Tim Walberg,Republican,Michigan,-84.333,42.102,0.001034213,1,463.9248165,0,0.666666667
20729,Adrian Smith,Republican,Nebraska,-100.232,41.549,0.001034213,0,1157.175965,0,0
20733,Yvette D. Clarke,Democrat,New York,-73.948,40.642,0.001106511,73,1157.85064,0.218433983,0.590769231
20738,Jim Jordan,Republican,Ohio,-83.476,40.716,0.001034213,0,399.7125948,0,0
20748,Steve Cohen,Democrat,Tennessee,-89.979,35.168,0.001084342,70,449.7724184,0.312325837,0.590769231
20749,Bill Foster,Democrat,Illinois,-88.146,41.644,0.001287762,158,353.6593244,52.0362927,0.820512821
20750,Peter Welch,Democrat,Vermont,-72.663,44.075,0.001062589,32,1358.157672,0,0.517520216
20755,Robert E. Latta,Republican,Ohio,-84.042,41.155,0.001917588,2,395.8305439,1,1
20756,Robert J. Wittman,Republican,Virginia,-77.064,37.922,0.001034213,0,887.4798133,0,0
20757,AndrÃ© Carson,Democrat,Indiana,-86.139,39.747,0.001254433,152,161.7380574,38.00900834,0.8
20758,Gus M. Bilirakis,Republican,Florida,-82.431,28.281,0.001034213,0,1223.800086,0,0
20759,Steve Scalise,Republican,Louisiana,-90.113,29.736,0.001034213,0,1015.610382,0,0
20762,Jackie Speier,Democrat,California,-122.376,37.524,0.001034213,0,3064.037319,0,0
20902,Ann Kirkpatrick,Democrat,Arizona,-109.957,31.927,0.001692642,169,2187.050866,174.168596,0.860986547
20903,Tom McClintock,Republican,California,-119.937,37.988,0.001034213,0,2843.553277,0,0
20907,James A. Himes,Democrat,Connecticut,-73.375,41.22,0.001148332,84,1214.944218,0.312405722,0.623376623
20909,Bill Posey,Republican,Florida,-80.743,28.129,0.001034213,0,1303.55363,0,0
20916,Brett Guthrie,Republican,Kentucky,-85.989,37.536,0.002672563,1,154.4833768,0,0.666666667
20920,Chellie Pingree,Democrat,Maine,-70.119,43.877,0.00137846,159,1543.075411,57.01919257,0.824034335
20926,Blaine Luetkemeyer,Republican,Missouri,-91.555,38.578,0.001034213,0,378.7191591,0,0
20927,Dina Titus,Democrat,Nevada,-115.152,36.138,0.001340689,152,2476.00378,37.75479227,0.8
20934,Paul Tonko,Democrat,New York,-73.992,42.748,0.001420367,159,1206.485813,58.29746677,0.824034335
20944,Kurt Schrader,Democrat,Oregon,-123.117,45.016,0.001034213,0,3037.13197,0,0
20946,Glenn Thompson,Republican,Pennsylvania,-78.91,41.204,0.001034213,0,766.151384,0,0
20952,Gerald E. Connolly,Democrat,Virginia,-77.296,38.794,0.001379788,160,859.7540862,54.32657241,0.827586207
20954,Mike Quigley,Democrat,Illinois,-87.835,41.932,0.001336372,155,380.2429124,52.03905952,0.810126582
20955,Judy Chu,Democrat,California,-117.94,34.279,0.001506896,148,2778.180368,126.9580914,0.80334728
20958,John Garamendi,Democrat,California,-122.095,39.037,0.001293536,110,3006.105892,3.120360995,0.680851064
20959,,Vacant,Florida,-80.166,26.277,0.001034213,0,1514.432752,0,0
21102,Terri A. Sewell,Democrat,Alabama,-87.625,32.444,0.001091375,39,679.7149887,0,0.531855956
21103,Paul A. Gosar,Republican,Arizona,-113.222,34.609,0.001034213,0,2356.358696,0,0
21105,David Schweikert,Republican,Arizona,-111.89,33.667,0.001034213,0,2276.003676,0,0
21106,Eric A. â€œRickâ€ Crawford,Republican,Arkansas,-91.246,35.302,0.001034213,0,509.4133149,0,0
21108,Steve Womack,Republican,Arkansas,-93.599,36.006,0.001034213,0,632.6388023,0,0
21110,Karen Bass,Democrat,California,-118.364,34.017,0.001034213,0,2824.580578,0,0
21116,Daniel Webster,Republican,Florida,-82.167,28.791,0.001034213,0,1180.006359,0,0
21118,Frederica S. Wilson,Democrat,Florida,-80.216,25.911,0.001290425,124,1549.719412,6.766812276,0.71641791
21123,Austin Scott,Republican,Georgia,-83.453,31.78,0.001034213,0,825.7098827,0,0
21128,Adam Kinzinger,Republican,Illinois,-88.8,41.395,0.001034213,0,344.8033599,0,0
21132,Larry Bucshon,Republican,Indiana,-87.198,38.739,0.001034213,0,21.34960256,0,0
21139,Andy Harris,Republican,Maryland,-75.971,38.865,0.001034213,0,974.3102727,0,0
21140,William R. Keating,Democrat,Massachusetts,-70.617,41.747,0.001141645,47,1451.086792,0,0.54084507
21142,Bill Huizenga,Republican,Michigan,-85.991,43.513,0.001034213,0,561.3952204,0,0
21148,Steven M. Palazzo,Republican,Mississippi,-89.094,31.057,0.001034213,0,850.5709422,0,0
21149,Vicky Hartzler,Republican,Missouri,-93.31,38.284,0.001034213,0,533.1189174,0,0
21150,Billy Long,Republican,Missouri,-93.698,36.989,0.001034213,0,596.7914653,0,0
21162,Bill Johnson,Republican,Ohio,-81.554,39.774,0.001034213,0,505.3618355,0,0
21165,Bob Gibbs,Republican,Ohio,-82.059,40.707,0.001034213,0,501.3459354,0,0
21167,Mike Kelly,Republican,Pennsylvania,-80.128,41.496,0.001034213,0,685.2999571,0,0
21172,David N. Cicilline,Democrat,Rhode Island,-71.361,41.762,0.001321158,134,1390.426383,11.73173011,0.744186047
21174,Jeff Duncan,Republican,South Carolina,-82.339,34.356,0.001034213,0,637.0706471,0,0
21178,Charles J. â€œChuckâ€ Fleischmann,Republican,Tennessee,-84.504,35.766,0.001034213,0,390.6819491,0,0
21179,Scott DesJarlais,Republican,Tennessee,-85.96,35.45,0.001034213,0,361.5103894,0,0
21187,Jaime Herrera Beutler,Republican,Washington,-122.189,46.226,0.001034213,0,2970.830342,0,0
21188,David B. McKinley,Republican,West Virginia,-80.267,39.38,0.001034213,0,606.2923396,0,0
21191,H. Morgan Griffith,Republican,Virginia,-81.319,36.992,0.001034213,0,544.8706768,0,0
21193,Mo Brooks,Republican,Alabama,-86.712,34.754,0.001034213,0,423.9919464,0,0
21196,Mark E. Amodei,Republican,Nevada,-117.306,40.646,0.001034213,0,2577.51974,0,0
21198,Suzanne Bonamici,Democrat,Oregon,-123.293,45.688,0.001474295,157,3052.859609,322.2837584,0.834782609
21302,Doug LaMalfa,Republican,California,-121.509,40.747,0.001034213,0,2929.044337,0,0
21303,Jared Huffman,Democrat,California,-123.434,40.144,0.001359465,119,3099.338363,56.83173768,0.708487085
21304,Ami Bera,Democrat,California,-121.219,38.482,0.001034213,1,2942.702656,0,0.303797468
21306,Eric Swalwell,Democrat,California,-121.824,37.644,0.001356938,130,3013.644763,11.32600961,0.732824427
21307,David Valadao,Republican,California,-119.851,36.082,0.001034213,0,2885.394673,0,0
