icpsr,NAME,PARTY,STATE_NAME,LonX,LatY
21342,Grace Meng,Democrat,New York,-73.824,40.735
29378,Nydia M. Velázquez,Democrat,New York,-73.947,40.687
21343,Hakeem S. Jeffries,Democrat,New York,-73.907,40.64
20733,Yvette D. Clarke,Democrat,New York,-73.948,40.642
29377,Jerrold Nadler,Democrat,New York,-73.992,40.694
22133,Nicole Malliotakis,Republican,New York,-74.136,40.584
29379,Carolyn B. Maloney,Democrat,New York,-73.951,40.749
21715,Adriano Espaillat,Democrat,New York,-73.928,40.839
21949,Alexandria Ocasio-Cortez,Democrat,New York,-73.856,40.804
22154,Ritchie Torres,Democrat,New York,-73.893,40.828
22105,Jamaal Bowman,Democrat,New York,-73.814,40.945
22127,Mondaire Jones,Democrat,New York,-73.911,41.159
21344,Sean Patrick Maloney,Democrat,New York,-74.08,41.411
22169,Patrick Ryan,Democrat,New York,-74.421,42.215
20934,Paul Tonko,Democrat,New York,-73.992,42.748
21541,Elise M. Stefanik,Republican,New York,-74.529,44.019
21749,Claudia Tenney,Republican,New York,-75.657,42.873
22170,Joseph Sempolinski,Republican,New York,-77.751,42.331
21542,John Katko,Republican,New York,-76.535,43.062
21761,Joseph D. Morelle,Democrat,New York,-77.682,43.161
20519,Brian Higgins,Democrat,New York,-78.835,42.959
21990,Chris Jacobs,Republican,New York,-78.222,42.892
29550,Steve Chabot,Republican,Ohio,-84.345,39.337
21351,Brad R. Wenstrup,Republican,Ohio,-83.566,39.02
21352,Joyce Beatty,Democrat,Ohio,-82.949,39.966
20738,Jim Jordan,Republican,Ohio,-83.476,40.716
20755,Robert E. Latta,Republican,Ohio,-84.042,41.155
21162,Bill Johnson,Republican,Ohio,-81.554,39.774
21165,Bob Gibbs,Republican,Ohio,-82.059,40.707
21564,Warren Davidson,Republican,Ohio,-84.416,39.904
15029,Marcy Kaptur,Democrat,Ohio,-82.779,41.511
20342,Michael R. Turner,Republican,Ohio,-83.957,39.701
22161,Shontel M. Brown,Democrat,Ohio,-81.589,41.37
21759,Troy Balderson,Republican,Ohio,-82.615,40.238
20343,Tim Ryan,Democrat,Ohio,-80.97,41.156
21353,David P. Joyce,Republican,Ohio,-81.006,41.553
22162,Mike Carey,Republican,Ohio,-82.753,39.577
21924,Anthony Gonzalez,Republican,Ohio,-81.738,40.973
21760,Kevin Hern,Republican,Oklahoma,-95.786,36.212
21355,Markwayne Mullin,Republican,Oklahoma,-95.452,35.155
29393,Frank D. Lucas,Republican,Oklahoma,-98.839,36.121
20344,Tom Cole,Republican,Oklahoma,-97.75,34.58
22102,Stephanie Bice,Republican,Oklahoma,-96.994,35.307
21198,Suzanne Bonamici,Democrat,Oregon,-123.293,45.688
