source,target,year,quarter,log_git_pushes,weight
FI,BG,2020,1,13.021309131996764,4.281377461537205
FI,SI,2020,1,13.021309131996764,2.9277200297303367
IR,GB,2020,1,11.908582632087308,5.8264534171251245
IR,FR,2020,1,11.908582632087308,6.049596968439334
IR,CA,2020,1,11.908582632087308,5.694525874082576
IR,RO,2020,1,11.908582632087308,5.411108200417253
IR,CH,2020,1,11.908582632087308,4.705112877379459
IR,US,2020,1,11.908582632087308,7.797330188910899
IR,TR,2020,1,11.908582632087308,4.878776371430298
IR,DE,2020,1,11.908582632087308,7.357626067510109
IR,IL,2020,1,11.908582632087308,4.763707041645511
IR,NL,2020,1,11.908582632087308,6.830878490733533
IR,CN,2020,1,11.908582632087308,4.921335985849095
TW,NL,2020,1,13.422869370764023,4.52883639791087
TW,DE,2020,1,13.422869370764023,6.105751118639409
TW,PL,2020,1,13.422869370764023,3.5325029583631777
TW,AU,2020,1,13.422869370764023,4.282345482599668
TW,ES,2020,1,13.422869370764023,4.286274760739558
TW,RU,2020,1,13.422869370764023,4.708590559199578
TW,HK,2020,1,13.422869370764023,5.099381256378482
TW,CH,2020,1,13.422869370764023,4.2214747675126425
TW,FR,2020,1,13.422869370764023,4.824944410676722
TW,SG,2020,1,13.422869370764023,4.497583854406765
TW,JP,2020,1,13.422869370764023,5.532856197890711
TW,CN,2020,1,13.422869370764023,7.191996511953873
TW,VN,2020,1,13.422869370764023,3.820185030814959
TW,MY,2020,1,13.422869370764023,3.3797402038107673
TW,CA,2020,1,13.422869370764023,5.321480784629356
TW,GB,2020,1,13.422869370764023,5.785547605797087
TW,IN,2020,1,13.422869370764023,3.9653670406594568
TW,HU,2020,1,13.422869370764023,4.7238969804822535
TW,US,2020,1,13.422869370764023,8.032312628693443
BA,US,2020,1,10.692694631790944,7.953975708613967
BA,RS,2020,1,10.692694631790944,7.13987591763636
BA,HR,2020,1,10.692694631790944,6.741528277297059
BA,HK,2020,1,10.692694631790944,7.007704144527876
BA,DE,2020,1,10.692694631790944,6.47489961404311
EG,IN,2020,1,12.30579580109059,6.766427303390742
EG,KW,2020,1,12.30579580109059,5.940066846957804
EG,NL,2020,1,12.30579580109059,5.102055672138805
